type,vertices,heuristic,colors,time
90,50,GREEDY,28,14449
90,50,WELSH_POWELL,24,40441
90,50,DSATUR,24,85829
90,50,GREEDY,27,13005
90,50,WELSH_POWELL,25,37972
90,50,DSATUR,25,88941
90,50,GREEDY,25,15577
90,50,WELSH_POWELL,24,43948
90,50,DSATUR,25,91251
90,50,GREEDY,23,15603
90,50,WELSH_POWELL,22,43504
90,50,DSATUR,22,83389
90,50,GREEDY,27,13618
90,50,WELSH_POWELL,25,38702
90,50,DSATUR,24,88038
90,50,GREEDY,27,13022
90,50,WELSH_POWELL,24,38148
90,50,DSATUR,23,82170
90,50,GREEDY,24,14893
90,50,WELSH_POWELL,24,40688
90,50,DSATUR,24,86248
90,50,GREEDY,27,15724
90,50,WELSH_POWELL,24,42625
90,50,DSATUR,23,100001
90,50,GREEDY,28,15361
90,50,WELSH_POWELL,25,41001
90,50,DSATUR,26,216224
90,50,GREEDY,27,455647
90,50,WELSH_POWELL,25,40946
90,50,DSATUR,25,289786
90,50,GREEDY,29,14479
90,50,WELSH_POWELL,26,40606
90,50,DSATUR,25,294877
90,50,GREEDY,27,15966
90,50,WELSH_POWELL,24,42664
90,50,DSATUR,24,93589
90,50,GREEDY,25,16064
90,50,WELSH_POWELL,25,43041
90,50,DSATUR,24,205419
90,50,GREEDY,27,16136
90,50,WELSH_POWELL,24,42932
90,50,DSATUR,24,92516
90,50,GREEDY,29,15369
90,50,WELSH_POWELL,25,41333
90,50,DSATUR,25,92294
90,50,GREEDY,27,15155
90,50,WELSH_POWELL,24,42273
90,50,DSATUR,23,241340
90,50,GREEDY,26,15518
90,50,WELSH_POWELL,23,41871
90,50,DSATUR,24,91639
90,50,GREEDY,29,129959
90,50,WELSH_POWELL,24,39277
90,50,DSATUR,26,98719
90,50,GREEDY,27,14535
90,50,WELSH_POWELL,24,39216
90,50,DSATUR,25,89639
90,50,GREEDY,25,15539
90,50,WELSH_POWELL,24,41153
90,50,DSATUR,25,91444
90,50,GREEDY,26,15214
90,50,WELSH_POWELL,25,40508
90,50,DSATUR,26,336032
90,50,GREEDY,25,16151
