type,vertices,heuristic,colors,time
10,50,DSATUR,4,67144
10,50,GREEDY,5,9261
10,50,WELSH_POWELL,4,32062
10,50,DSATUR,4,61887
10,50,GREEDY,5,9590
10,50,WELSH_POWELL,4,32137
10,50,DSATUR,4,63740
10,50,GREEDY,5,9588
10,50,WELSH_POWELL,4,30549
10,50,DSATUR,4,59555
10,50,GREEDY,5,10055
10,50,WELSH_POWELL,5,30994
10,50,DSATUR,4,525930
10,50,GREEDY,5,7759
10,50,WELSH_POWELL,4,75653
10,50,DSATUR,4,64001
10,50,GREEDY,5,9808
10,50,WELSH_POWELL,4,33012
10,50,DSATUR,4,60324
10,50,GREEDY,4,9479
10,50,WELSH_POWELL,4,30640
10,50,DSATUR,4,51834
10,50,GREEDY,5,7667
10,50,WELSH_POWELL,5,43030
10,50,DSATUR,4,43910
10,50,GREEDY,5,6954
10,50,WELSH_POWELL,5,23380
10,50,DSATUR,4,42427
10,50,GREEDY,4,6445
10,50,WELSH_POWELL,4,21506
10,50,DSATUR,4,41556
10,50,GREEDY,5,7253
10,50,WELSH_POWELL,4,22794
10,50,DSATUR,4,42863
10,50,GREEDY,5,10110
10,50,WELSH_POWELL,5,32245
10,50,DSATUR,4,59629
10,50,GREEDY,6,9862
10,50,WELSH_POWELL,4,30488
10,50,DSATUR,4,61433
10,50,GREEDY,5,9696
10,50,WELSH_POWELL,4,47754
10,50,DSATUR,4,58487
10,50,GREEDY,4,10275
10,50,WELSH_POWELL,4,33872
10,50,DSATUR,4,62527
10,50,GREEDY,5,9524
10,50,WELSH_POWELL,5,31760
10,50,DSATUR,4,61067
10,50,GREEDY,5,9512
10,50,WELSH_POWELL,4,30714
10,50,DSATUR,4,98975
10,50,GREEDY,5,9652
10,50,WELSH_POWELL,4,32902
10,50,DSATUR,4,63273
10,50,GREEDY,6,10499
10,50,WELSH_POWELL,5,33351
10,50,DSATUR,4,65137
10,50,GREEDY,5,9781
10,50,WELSH_POWELL,4,46554
10,50,DSATUR,4,60914
10,50,GREEDY,5,9550
10,50,WELSH_POWELL,4,31173
10,50,DSATUR,4,59124
10,50,GREEDY,6,9841
10,50,WELSH_POWELL,5,34073
10,50,DSATUR,4,63205
10,50,GREEDY,6,10902
10,50,WELSH_POWELL,5,37051
10,50,DSATUR,4,90418
10,50,GREEDY,5,11554
10,50,WELSH_POWELL,5,34028
10,50,DSATUR,4,64022
10,50,GREEDY,5,10007
10,50,WELSH_POWELL,5,30513
10,50,DSATUR,4,61671
10,50,GREEDY,5,10342
10,50,WELSH_POWELL,4,32326
10,50,DSATUR,4,62646
10,50,GREEDY,5,10177
10,50,WELSH_POWELL,5,32136
10,50,DSATUR,4,62935
10,50,GREEDY,4,10053
10,50,WELSH_POWELL,4,32252
10,50,DSATUR,4,60384
10,50,GREEDY,5,10022
10,50,WELSH_POWELL,4,31794
10,50,DSATUR,4,61800
10,50,GREEDY,5,9825
10,50,WELSH_POWELL,5,31749
10,50,DSATUR,4,58154
10,50,GREEDY,4,9234
10,50,WELSH_POWELL,4,30576
10,50,DSATUR,4,55650
10,50,GREEDY,5,9232
10,50,WELSH_POWELL,4,30017
10,50,DSATUR,4,56818
10,50,GREEDY,5,9320
10,50,WELSH_POWELL,4,29112
10,50,DSATUR,4,54426
10,50,GREEDY,6,9178
10,50,WELSH_POWELL,5,30737
10,50,DSATUR,4,63637
10,50,GREEDY,5,8733
10,50,WELSH_POWELL,4,30827
10,50,DSATUR,4,57956
10,50,GREEDY,5,9566
10,50,WELSH_POWELL,5,31831
10,50,DSATUR,4,60457
10,50,GREEDY,6,10358
10,50,WELSH_POWELL,4,32051
10,50,DSATUR,4,62423
10,50,GREEDY,5,9711
10,50,WELSH_POWELL,4,31106
10,50,DSATUR,4,60918
10,50,GREEDY,5,9915
10,50,WELSH_POWELL,4,32029
10,50,DSATUR,4,59455
10,50,GREEDY,5,61878
10,50,WELSH_POWELL,5,33030
10,50,DSATUR,4,60512
10,50,GREEDY,5,10182
10,50,WELSH_POWELL,4,31435
10,50,DSATUR,4,61059
10,50,GREEDY,6,9867
10,50,WELSH_POWELL,4,31913
10,50,DSATUR,4,63930
10,50,GREEDY,5,10528
10,50,WELSH_POWELL,4,31910
10,50,DSATUR,5,61242
10,50,GREEDY,5,10055
10,50,WELSH_POWELL,4,32985
10,50,DSATUR,3,58353
10,50,GREEDY,5,9992
10,50,WELSH_POWELL,4,32471
10,50,DSATUR,4,61312
10,50,GREEDY,5,10296
10,50,WELSH_POWELL,4,32444
10,50,DSATUR,5,63135
10,50,GREEDY,5,10168
10,50,WELSH_POWELL,5,32199
10,50,DSATUR,4,67266
10,50,GREEDY,5,9844
10,50,WELSH_POWELL,4,32141
10,50,DSATUR,4,104897
10,50,GREEDY,5,10553
10,50,WELSH_POWELL,5,33139
10,50,DSATUR,4,62773
10,50,GREEDY,6,9894
10,50,WELSH_POWELL,5,32849
10,50,DSATUR,4,60703
10,50,GREEDY,5,10676
10,50,WELSH_POWELL,5,33344
10,50,DSATUR,4,63023
10,50,GREEDY,5,9745
10,50,WELSH_POWELL,5,32581
10,50,DSATUR,4,62017
10,50,GREEDY,6,10000
10,50,WELSH_POWELL,5,32708
10,50,DSATUR,4,64170
10,50,GREEDY,5,9921
10,50,WELSH_POWELL,4,32116
10,50,DSATUR,4,62146
10,50,GREEDY,5,10330
10,50,WELSH_POWELL,4,31945
10,50,DSATUR,4,63047
10,50,GREEDY,5,9868
10,50,WELSH_POWELL,5,33174
10,50,DSATUR,4,61957
10,50,GREEDY,5,11645
10,50,WELSH_POWELL,4,36239
10,50,DSATUR,5,66200
10,50,GREEDY,4,9584
10,50,WELSH_POWELL,4,32058
10,50,DSATUR,4,59382
10,50,GREEDY,6,10500
10,50,WELSH_POWELL,5,33670
10,50,DSATUR,4,65050
10,50,GREEDY,4,9469
10,50,WELSH_POWELL,4,32128
10,50,DSATUR,4,60080
10,50,GREEDY,5,10223
10,50,WELSH_POWELL,4,33287
10,50,DSATUR,4,60675
10,50,GREEDY,5,10242
10,50,WELSH_POWELL,5,33541
10,50,DSATUR,4,63018
10,50,GREEDY,6,10564
10,50,WELSH_POWELL,5,33788
10,50,DSATUR,4,64805
10,50,GREEDY,6,10596
10,50,WELSH_POWELL,4,33577
10,50,DSATUR,4,63624
10,50,GREEDY,5,9900
10,50,WELSH_POWELL,5,32838
10,50,DSATUR,4,1215316
10,50,GREEDY,4,9211
10,50,WELSH_POWELL,4,33141
10,50,DSATUR,4,61802
